P1;P2;P3;P4;P5;P6;P7;S1
1965;6;7;194;8;0;0;F
2002;6;7;160;8;35;7;H
0;6;7;110;1;79;3;H
0;4;4;171;1;0;3;H
2001;5;5;230;8;35;3;H
1979;5;7;125;8;0;1;H
2000;1;4;136;8;35;0;H
1954;6;3;212;8;0;0;F
2002;5;6;133;8;35;0;H
2006;5;7;220;8;112;15;H
1996;6;7;206;8;0;7;H
1993;6;7;93;8;0;0;H
2018;3;6;163;8;35;9;H
0;6;7;159;8;0;1;F
0;5;7;169;8;132;21;H
0;6;7;121;8;0;23;F
0;5;7;147;1;8;0;H
2006;2;2;116;8;35;1;H
0;6;7;49;1;72;12;H
1993;6;7;119;8;70;7;H
0;6;7;154;8;0;1;F
2001;0;0;0;8;0;152;H
0;6;3;106;1;0;1;H
0;6;7;223;1;0;4;F
0;5;2;222;8;0;9;F
2000;2;6;152;8;0;1;F
2001;6;7;232;8;0;2;H
1999;6;7;245;8;38;3;H
1989;0;0;211;8;35;1;H
2002;5;4;431;8;0;6;H
1997;6;7;153;8;0;2;H
0;4;5;118;8;0;0;H
0;4;5;127;1;0;24;H
1951;6;7;283;8;0;4;H
2018;3;2;173;8;37;2;H
0;6;7;141;1;0;0;H
0;5;7;127;1;42;8;H
2017;6;7;224;8;35;329;H
1954;3;4;143;8;0;4;F
2004;6;7;282;8;0;0;H
2002;4;5;177;8;2;0;H
0;2;3;86;8;0;2;F
2018;6;7;163;8;0;2;H
1949;1;1;431;8;0;6;F
1953;4;2;191;8;0;54;F
1996;6;7;118;8;0;10;H
0;6;7;119;8;42;1;H
2004;4;5;195;8;0;0;H
2018;3;4;250;8;218;5;H
2003;6;7;161;8;38;1;H
1992;5;3;148;8;70;5;F
0;6;6;93;1;82;8;H
0;6;7;90;1;36;1;F
0;6;7;359;8;0;351;H
0;6;7;160;1;35;8;F
2001;5;4;159;8;0;1;H
2018;6;6;117;8;51;1;F
2018;0;0;69;8;36;1;H
0;6;5;59;1;0;0;H
1995;6;6;188;8;0;0;H
0;6;7;174;8;36;1;H
1961;2;2;142;8;0;2;H
0;6;7;196;1;0;0;H
1996;6;7;204;8;35;3;F
1963;5;7;278;8;0;17;H
0;4;7;160;1;70;3;H
2003;5;5;152;8;14;2;H
1993;3;6;90;8;0;1;H
1967;4;3;93;8;0;14;H
0;6;6;157;8;0;2;H
0;6;7;152;1;0;351;F
0;6;5;211;1;0;1;H
1986;6;7;206;8;0;0;H
1987;6;7;255;8;0;1;H
1965;5;6;210;8;0;20;F
0;3;6;161;8;0;2;H
0;3;6;221;1;35;2;H
0;6;7;130;1;58;8;H
0;2;4;109;1;0;1;H
0;6;7;109;8;35;7;F
0;6;6;218;1;2;1;H
0;0;0;0;8;0;0;H
0;5;7;95;8;35;1;H
0;5;7;210;1;82;17;H
2006;2;1;292;8;0;0;H
0;6;7;82;8;0;6;F
1996;2;4;16;8;0;6;H
1964;3;3;255;8;0;4;H
0;6;7;143;1;0;21;H
1976;1;0;263;8;0;0;H
1963;5;6;189;8;0;1;H
0;3;3;169;1;0;0;H
0;3;4;201;1;35;2;H
0;4;6;148;1;0;0;H
